Tweet,Offensive,Hate
الحمدله يارب فوز مهم يا زمالك كل الدعم ليكم يا رجاله ⚪🔴 الدوري يا زمالك الدوري يا زمالك صداره بس,NOT_OFF,NOT_HS
فدوه يا بخت فدوه يا زمن واحد منكم يجيبه,NOT_OFF,NOT_HS
 يا رب يا واحد يا احد بحق يوم الاحد ان تهلك بني سعود المجرمين لاجل اطفال اليمن شاركوا ,OFF,HS
 هوا الحريه يا وجع قلبي عليكي يا امي اله لا يحرق قلبك ويكسر بخاطرك لمره الف نقف اجلال لعظمه وقدره لين قلب الام ال ,NOT_OFF,NOT_HS
يا بكون بحياتك الاهم يا اما ما بدي اكون 🎼,NOT_OFF,NOT_HS
 اخ يا قلبي يا هالحلقه 😩😭 ️ متعه علي بكاء علي حماس كل المشاعر داخله بعض,NOT_OFF,NOT_HS
واله الزول السوداني اثبت انه سابق بالتحضر عن كل العرب التمثيل النساءي في المجلس التشريعي السوداني ما بعد الثوره الكلام الك يا جاره لتسمعي يا كنه السودان سوريا الجزاءر,NOT_OFF,NOT_HS
 جالس اسمع احمد قاسم يغني احبك من كل قلبي يا بلادي يا يمن حتي انا واله احب اليمن من كل قلبي احب بلادي من طرفها لطرفها ب ,NOT_OFF,NOT_HS
في قلبي يا مغلاك وبعيني يا محلاك ,NOT_OFF,NOT_HS
يا التاج ع الراس يا الساده يا مالك الروح وراعيها ️,NOT_OFF,NOT_HS
 البراب عندي بيقولي بيخيروك يا كرتونه يا خمسين جنيه واستاذن يروح ياخد كرتونه 😁,NOT_OFF,NOT_HS
اموت شوقا ولا القاكم ابدا يا حسرتا ثم يا شوقا و يا اسفا,NOT_OFF,NOT_HS
 يا لطيف يا ساتر احمدوا ربكم انها مستقعده🌚كيف لو انها واقفه👌,OFF,NOT_HS
 يا مريوم كل سنه و انتي طيبه يا قلبي و يا رب دايما مبسوطه كدا و عقبال العمر كله يا قمر لاڤ يو ️ ️ ️ ️,NOT_OFF,NOT_HS
هلا يا حبي الاول هلا يا غايتي مشتاق,NOT_OFF,NOT_HS
